Persistence Class;Destination Class;Connectivity Strength
org.sigaept.edu.dao.AtividadeComplementarMatriculaDAO;org.sigaept.edu.negocio.ejb.ManterSituacaoAlunoCursoEJB;104.19963694563629
org.sigaept.edu.dao.TipoLogradouroDAO;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;0.15
org.sigaept.edu.dao.ModalidadeCursoDAO;org.sigaept.edu.negocio.ejb.ManterModalidadeCursoEJB;0.0
org.sigaept.edu.dao.UnidadeOrganizacionalDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;63.46522089
org.sigaept.edu.dao.RegimeJuridicoDAO;org.sigaept.edu.negocio.ejb.ManterServidorEJB;0.9098999999999999
org.sigaept.edu.dao.PessoaExternaDAO;org.sigaept.edu.negocio.ejb.ManterPessoaExternaEJB;0.6
org.sigaept.edu.dao.PerguntasProgramasAssistenciaEstudantilDAO;org.sigaept.edu.negocio.ejb.ManterPerguntasProgramasAssistenciaEstudantilEJB;27.073108799999993
org.sigaept.edu.dao.EixoTecnologicoCursoSuperiorDAO;org.sigaept.edu.negocio.ejb.ManterMatriculaEJB;2.2697999999999996
org.sigaept.edu.dao.OrgaoExpedidorDAO;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;1.5099
org.sigaept.edu.dao.SituacaoEquipamentoEnsinoDAO;org.sigaept.edu.negocio.ejb.ManterEquipamentoEnsinoEJB;0.15
org.sigaept.edu.dao.CriterioClassificacaoDAO;org.sigaept.edu.negocio.ejb.ManterPedidoRenovacaoMatriculaEJB;4.520999999999999
org.sigaept.edu.dao.TipoOcorrenciaDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;0.44999999999999996
org.sigaept.edu.dao.TipoAcessoDAO;org.sigaept.edu.negocio.ejb.ManterUsuarioEJB;0.75
org.sigaept.edu.dao.ResponsavelDAO;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0.66
org.sigaept.edu.dao.FormulaCriterioClassificacaoDAO;org.sigaept.edu.negocio.ejb.ManterCriterioClassificacaoEJB;0.3
org.sigaept.edu.dao.OrgaoPublicoDAO;org.sigaept.edu.negocio.ejb.ManterServidorEJB;0.15
org.sigaept.edu.dao.SexoDAO;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;0.9099
org.sigaept.edu.dao.DisciplinaDAO;org.sigaept.edu.negocio.ejb.ManterElementoCurricularEJB;41.78090764619999
org.sigaept.edu.dao.FuncionarioDAO;org.sigaept.edu.negocio.ejb.ManterEstagioMatriculaEJB;8.56100079
org.sigaept.edu.dao.ClasseDAO;org.sigaept.edu.negocio.ejb.ManterClasseEJB;1627.6820705989396
org.sigaept.edu.dao.ParticipacaoDAO;org.sigaept.edu.negocio.ejb.ManterParticipacaoEJB;1.2
org.sigaept.edu.dao.UnidadeEnsinoDAO;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;44.75848319999999
org.sigaept.edu.dao.RelatorioPentahoDAO;org.sigaept.edu.negocio.ejb.ManterRelatorioPentahoEJB;0.3
org.sigaept.edu.dao.CategoriaProgramaDAO;org.sigaept.edu.negocio.ejb.ManterProgramaEJB;1.6698
