Type;Class;Amount Business Dependencies; Amount Persistence Dependencies
persistence;org.sigaept.edu.dao.EnturmacaoDAO;0;1
business;org.sigaept.edu.negocio.ejb.MenuEJB;0;2
business;org.sigaept.edu.negocio.ejb.ManterAtividadeComplementarMatriculaEJB;0;1
business;org.sigaept.edu.negocio.ejb.ManterSituacaoFuncionamentoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterVisitaTecnicaGerencialEJB;0;6
persistence;org.sigaept.edu.dao.CTPSDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterGrauFormacaoEJB;0;0
persistence;org.sigaept.edu.dao.NivelFuncionalServidorDAO;0;0
persistence;org.sigaept.edu.dao.AreaConhecimentoDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioEstagioDAO;0;0
persistence;org.sigaept.edu.dao.PerfilDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterValidaDocumentoEJB;0;2
persistence;org.sigaept.edu.dao.CategoriaDataEspecialDAO;0;0
persistence;org.sigaept.edu.dao.AbrangenciaProjetoExtensaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterDataLimiteEtapaEJB;0;3
business;org.sigaept.edu.negocio.ejb.ManterTipoLancamentoDadosHistoricoEJB;0;0
persistence;org.sigaept.edu.dao.EixoTecnologicoCursoNaoCatalagoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoCursoTecnicoEJB;0;0
persistence;org.sigaept.edu.dao.TipoUnidadeEnsinoDAO;0;0
persistence;org.sigaept.edu.dao.FuncaoServidorDAO;0;0
persistence;org.sigaept.edu.dao.AuditTipoOperacaoDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioAcompanhamentoDAO;0;0
persistence;org.sigaept.edu.dao.AtividadeComplementarDAO;0;0
persistence;org.sigaept.edu.dao.ConjuntoRegrasAcademicasMatriculaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPerfilEJB;0;3
persistence;org.sigaept.edu.dao.NivelRendaFamiliarDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterConvenioEstagioEJB;0;3
persistence;org.sigaept.edu.dao.AvaliacaoDocenteDAO;0;0
persistence;org.sigaept.edu.dao.TipoRegistroLegalDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;0;6
business;org.sigaept.edu.negocio.ejb.ManterTipoFeriadoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterEnadeEJB;0;7
persistence;org.sigaept.edu.dao.AuditoriaRecuperacaoSenhaDAO;0;0
persistence;org.sigaept.edu.dao.MotivoEnadeDAO;0;0
persistence;org.sigaept.edu.dao.EducacensoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEmailEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterStatusAlunoEJB;0;4
business;org.sigaept.edu.negocio.ejb.ManterEducacensoEJB;0;5
persistence;org.sigaept.edu.dao.MaterialApoioPastaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAulaEJB;0;5
persistence;org.sigaept.edu.dao.AgenciaPagamentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterProgramaAssistenciaEstudantilEJB;0;3
persistence;org.sigaept.edu.dao.SituacaoCursoDAO;0;0
persistence;org.sigaept.edu.dao.TipoStatusAlunoDAO;0;0
persistence;org.sigaept.edu.dao.GrupoCurricularDAO;0;0
persistence;org.sigaept.edu.dao.DuracaoDAO;0;0
persistence;org.sigaept.edu.dao.StatusAlunoPeriodoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterOfertaVagaEJB;0;9
persistence;org.sigaept.edu.dao.ProgramaAssistenciaEstudantilDAO;0;0
persistence;org.sigaept.edu.dao.InstituicaoParticipanteDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterParticipacaoEJB;0;8
business;org.sigaept.edu.negocio.ejb.ManterSituacaoAvaliacaoProjetoExtensaoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterPerguntasProgramasAssistenciaEstudantilEJB;0;5
business;org.sigaept.edu.negocio.ejb.ManterGradeHorariaEJB;0;5
persistence;org.sigaept.edu.dao.CategoriaTreinamentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterProgramaEJB;0;5
persistence;org.sigaept.edu.dao.ElementoOrganizacionalDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoVinculoClasseEJB;0;0
persistence;org.sigaept.edu.dao.EgressoDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioComumDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEstagioMatriculaEJB;0;10
persistence;org.sigaept.edu.dao.StatusTramiteRelatorioFinalEstagioDAO;0;0
persistence;org.sigaept.edu.dao.TipoEixoTecnologicoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPeriodicidadeIngressoEJB;0;0
persistence;org.sigaept.edu.dao.ValidaDocumentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterIngressoEJB;0;1
business;org.sigaept.edu.negocio.ejb.ManterTipoOcorrenciaEJB;0;1
persistence;org.sigaept.edu.dao.OfertaVagaDAO;0;0
persistence;org.sigaept.edu.dao.RegimeLetivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterLocalizacaoEJB;0;4
business;org.sigaept.edu.negocio.ejb.ManterRegimeTrabalhoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoIngressoEJB;0;0
persistence;org.sigaept.edu.dao.TipoAvaliacaoDAO;0;0
persistence;org.sigaept.edu.dao.PeriodicidadeIngressoDAO;0;0
persistence;org.sigaept.edu.dao.PeriodoLetivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterServidorEJB;0;30
persistence;org.sigaept.edu.dao.ProcedimentoTreinamentoDAO;0;0
persistence;org.sigaept.edu.dao.ClassificacaoTipoParentescoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterMatriculaEJB;1;26
persistence;org.sigaept.edu.dao.ReaberturaTurmaClasseDAO;0;0
